Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR153,10/12/2025,ASCEND MEDICAL SUPPLIES,10.00,3500,3500,Options Bill Lines Edit Print Void entries
Closed,PUR151,03/12/2025,ALPHA SURGICALS SUPPLIES LIMITED,7.00,3500,3500,Options Bill Lines Edit Print Void entries
Closed,PUR149,08/12/2025,OMNI EMROIDERY AND PRINT,10.00,1500,1500,Options Bill Lines Edit Print Void entries
Closed,PUR147,26/11/2025,MICROARRAY LIMITED,2.00,6000,6000,Options Bill Lines Edit Print Void entries
Closed,PUR144,26/11/2025,LITHI PURIFIED WATER,4.00,1200,1200,Options Bill Lines Edit Print Void entries
Closed,PUR143,20/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,1000.00,7000,7000,Options Bill Lines Edit Print Void entries
Closed,PUR141,21/11/2025,ALLIED MEDICAL SUPPLIES LIMITED,41.00,35300,35300,Options Bill Lines Edit Print Void entries
Closed,PUR140,21/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,100.00,3500,3500,Options Bill Lines Edit Print Void entries
Closed,PUR139,21/11/2025,MICROARRAY LIMITED,8.00,17200,17200,Options Bill Lines Edit Print Void entries
Closed,PUR136,18/11/2025,MEDISWIFT SYSTEMS LTD,1.00,20200,20200,Options Bill Lines Edit Print Void entries
Closed,PUR133,19/11/2025,GREENSCAPE ENTERPRISES,1.00,25000,25000,Options Bill Lines Edit Print Void entries
Closed,PUR132,13/11/2025,LITHI PURIFIED WATER,4.00,1200,1200,Options Bill Lines Edit Print Void entries
Closed,PUR131,17/11/2025,DAV ONE STOP HOSPITAL EQUIPMENTS,6.00,17500,17500,Options Bill Lines Edit Print Void entries
Closed,PUR129,17/11/2025,KEVTON COMPUTERS,1.00,600,600,Options Bill Lines Edit Print Void entries
Closed,PUR128,20/11/2025,ASCEND MEDICAL SUPPLIES,1.00,5580,5580,Options Bill Lines Edit Print Void entries
Closed,PUR127,17/11/2025,KENYA NUCLEAR REGULATORY AUTHORITY,1.00,109650,109650,Options Bill Lines Edit Print Void entries
Closed,PUR126,12/11/2025,MEMBERS CORPORATE BRANDS,1.00,18200,18200,Options Bill Lines Edit Print Void entries
Closed,PUR124,13/11/2025,BIOCARE 3 IN ONE AGENCIES,8.00,2800,2800,Options Bill Lines Edit Print Void entries
Closed,PUR122,13/11/2025,SILCAT INVESTMENT LIMITED,16.00,3720,3720,Options Bill Lines Edit Print Void entries
Closed,PUR120,13/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,500.00,4060,4060,Options Bill Lines Edit Print Void entries
Closed,PUR118,12/11/2025,ALLIED MEDICAL SUPPLIES LIMITED,25.00,19500,19500,Options Bill Lines Edit Print Void entries
Closed,PUR117,12/11/2025,TOTAL PROPERTIES LTD,1.00,25000,25000,Options Bill Lines Edit Print Void entries
Closed,PUR115,12/11/2025,MEDIPAL MEDICAL SUPPLIES LTD,90.00,63000,63000,Options Bill Lines Edit Print Void entries
Closed,PUR113,11/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,3000.00,21000,21000,Options Bill Lines Edit Print Void entries
Closed,PUR112,12/11/2025,INTERMEDICA LIMITED,15.00,61248,61248,Options Bill Lines Edit Print Void entries
Closed,PUR110,27/11/2025,SHADON MEDICAL DIAGNOSTIC LABORATORIES,5.00,16750,16750,Options Bill Lines Edit Print Void entries
Closed,PUR109,11/11/2025,MICROARRAY LIMITED,3.00,11600,11600,Options Bill Lines Edit Print Void entries
Closed,PUR108,04/11/2025,MICROARRAY LIMITED,13.00,30000,30000,Options Bill Lines Edit Print Void entries
